"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3744.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xb42bf7502d3d410c36a61e01c8e76e4c6b088b3d286e58730e43914d8623dc8b","13717884","1638317532","2021-12-01 00:12:12","0xe12a32aa38346692d800fa670b3c2718406bc4c1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","20","0","74895.8","0.02611404187446261","97.7916028710688","4580.57","","","Swap Exact ETH For Tokens",""
"0x95cb0563ab3f458a1eca7526e53d5b73e0cfe9b0a3c2b20baa9f9a58beb97fab","13717886","1638317607","2021-12-01 00:13:27","0x188c8ba105528379be1cde9ae95b250835864fc1","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.027094000667745816","101.461342760568","4580.57","","","Swap Exact Tokens For ETH",""
"0x880b97697a67ce32d072632775836e4511ee8b9cc0a6a966a7e9605bd8cf373f","13717887","1638317618","2021-12-01 00:13:38","0x59227430ac7bfd9ff9fd34e8085d4327bc2e3b24","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.032858387395435998","123.047760534555","4580.57","","","Swap Exact Tokens For Tokens",""
"0x0f530668ada96e70360d516771f4dfa605fd86e8941f8ef5eca33dfc7c43a44f","13717887","1638317618","2021-12-01 00:13:38","0xeafa447b42235d8bcb63e7bbc4c5e417aaff7af5","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.009491779092040872","35.5447194260837","4580.57","Error(0)","Reverted","Swap Exact Tokens For ETH",""
"0x1089136a2803d861fcd10ce50e9bbf7102dca73bc376704e60df7730cc8cce26","13717887","1638317618","2021-12-01 00:13:38","0xa3b83d0e2f3d2c675439188ef1aa13d1c6abca16","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.008794896401257073","32.9350400944635","4580.57","Error(0)","Reverted","Swap Exact Tokens For Tokens",""
"0x81dce82c52da57e05798f083053c8cf0cd34acbd41cf6d65b7eec37a92103d86","13717888","1638317624","2021-12-01 00:13:44","0x0f4ee9631f4be0a63756515141281a3e2b293bbe","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.03218046210535899","120.509072687527","4580.57","","","Swap Exact Tokens For Tokens",""
"0xf711a5c8dcb6dd9f6c5057e37d59cdb0bfc7adee479cd7e670d4a1b4f22c560b","13717889","1638317640","2021-12-01 00:14:00","0x32cd1f7bdae90b87e9b58d25d2ef7b09f6a9b548","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","1.275","0","4774.60725","0.02366315499503538","88.6135461938585","4580.57","","","Swap Exact ETH For Tokens",""
"0x54a9938eb4d6d3d72f113dae141d65d1a716f1b90b791fe87ddfeeb8b4606225","13717890","1638317641","2021-12-01 00:14:01","0xcdc5dc3f67238d9b9eb785f86712130f410110d9","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0.173703453803904422","0","650.482956770323","0.006079336780409991","22.7658395819115","4580.57","Error(0)","Reverted","Swap ETH For Exact Tokens",""
"0x0e92ce7e9d48d9c48c1d43110b24db8fa06349ef997b3f537e9f82489bd3d85b","13717895","1638317686","2021-12-01 00:14:46","0x801ba8998f2ea2ba037984b9827c30acf007f832","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.01938629","72.5975849291","4580.57","","","Swap Exact Tokens For ETH",""
"0x4ade19abdc4d1d3b61b1c2f0a81b2e032aec96c3dd6432e7d726a3542b8bb4f8","13717896","1638317698","2021-12-01 00:14:58","0x59227430ac7bfd9ff9fd34e8085d4327bc2e3b24","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","","0","0","0","0.02024812234017641","75.8249660582692","4580.57","","","Swap Tokens For Exact Tokens",""
